Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
22.08.,Llamas Ruiz P.,2,,,,,,2,2,62%,76% (28/37),78% (18/23),50% (1/2),171 km/h,133 km/h,29% (14/48),63% (22/35),50% (4/8),17,19,82% (14/17),77% (46/60),43% (35/81),57% (81/141),5,0,92% (11/12),33% (4/12),63% (15/24),[],"['2', '0', '5', '1']","['1', '0', '3', '0']",[],[],1.62
22.08.,Trungelliti M.,1,,,,,,5,11,58%,71% (34/48),37% (13/35),50% (4/8),175 km/h,140 km/h,24% (9/37),22% (5/23),50% (1/2),18,38,55% (11/20),57% (46/81),23% (14/60),43% (60/141),5,0,67% (8/12),8% (1/12),38% (9/24),"['2', '0']",[],[],[],[],2.31
21.08.,Trungelliti M.,2,,,,,,1,6,49%,72% (31/43),56% (25/45),80% (8/10),36% (19/53),53% (18/34),33% (3/9),64% (56/88),43% (37/87),53% (93/175),6,0,83% (10/12),25% (3/12),54% (13/24),"['3', '4']","['3', '1', '7', '5']",[],[],[],3.33
21.08.,Garin C.,0,,,,,,6,6,61%,64% (34/53),47% (16/34),67% (6/9),28% (12/43),44% (20/45),20% (2/10),57% (50/87),36% (32/88),47% (82/175),4,3,75% (9/12),17% (2/12),46% (11/24),"['4', '2']","['2', '3']",[],[],[],1.32
18.08.,Trungelliti M.,2,,,,,,3,4,57%,63% (37/59),62% (28/45),78% (7/9),27% (18/67),60% (26/43),25% (3/12),63% (65/104),40% (44/110),51% (109/214),7,0,87% (13/15),20% (3/15),53% (16/30),"['6', '5']","['3', '2']","['5', '3']",[],[],21.0
18.08.,Eubanks C.,1,,,,,,7,8,61%,73% (49/67),40% (17/43),75% (9/12),37% (22/59),38% (17/45),22% (2/9),60% (66/110),38% (39/104),49% (105/214),3,0,80% (12/15),13% (2/15),47% (14/30),[],"['3', '3', '5', '3']",[],[],[],1.37
14.08.,Pacheco Mendez R.,2,,,,,,6,7,58%,70% (43/61),43% (19/44),86% (12/14),38% (15/39),50% (21/42),27% (3/11),16,43,43% (3/7),59% (62/105),42% (34/81),52% (96/186),7,0,82% (9/11),27% (3/11),55% (12/22),"['1', '0', '5', '4']","['1', '0']",[],[],[],1.65
14.08.,Trungelliti M.,0,,,,,,5,12,48%,67% (26/39),50% (21/42),73% (8/11),31% (19/61),57% (25/44),14% (2/14),32,51,87% (13/15),58% (47/81),41% (43/105),48% (90/186),3,3,73% (8/11),18% (2/11),45% (10/22),"['3', '3']","['1', '1']",[],[],[],21.5
19.07.,Mikrut L.,2,,,,,,5,1,57%,85% (28/33),68% (17/25),100% (1/1),27% (11/41),52% (13/25),25% (2/8),22,13,91% (10/11),78% (45/58),36% (24/66),56% (69/124),9,0,100% (10/10),20% (2/10),60% (12/20),[],"['3', '2', '5', '2']",[],[],[],2.25
19.07.,Trungelliti M.,0,,,,,,1,4,62%,73% (30/41),48% (12/25),75% (6/8),15% (5/33),32% (8/25),0% (0/1),16,30,73% (11/15),64% (42/66),22% (13/58),44% (55/124),1,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],1.65
15.07.,Comesana F.,2,,,,,,14,1,77%,85% (35/41),58% (7/12),100% (1/1),28% (11/39),56% (10/18),50% (2/4),21,17,86% (6/7),79% (42/53),37% (21/57),57% (63/110),6,0,100% (10/10),22% (2/9),63% (12/19),"['5', '3']","['4', '3']",[],[],[],1.59
15.07.,Trungelliti M.,0,,,,,,2,2,68%,72% (28/39),44% (8/18),50% (2/4),15% (6/41),42% (5/12),0% (0/1),17,23,85% (11/13),63% (36/57),21% (11/53),43% (47/110),4,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],2.40
13.07.,Trungelliti M.,2,,,,,,4,6,68%,74% (60/81),44% (17/39),88% (14/16),31% (22/72),47% (16/34),57% (4/7),29,30,72% (13/18),64% (77/120),36% (38/106),51% (115/226),6,0,88% (15/17),24% (4/17),56% (19/34),"['6', '5']","['1', '2']","['2', '0', '6', '4']",[],[],1.38
13.07.,Bernet H.,1,,,,,,6,3,68%,69% (50/72),53% (18/34),43% (3/7),26% (21/81),56% (22/39),13% (2/16),40,44,71% (17/24),64% (68/106),36% (43/120),49% (111/226),4,0,76% (13/17),12% (2/17),44% (15/34),[],"['2', '0']","['2', '3']",[],[],3.04
12.07.,Trungelliti M.,2,,,,,,4,3,59%,76% (25/33),52% (12/23),0% (0/2),37% (15/41),60% (21/35),50% (4/8),14,16,33% (1/3),66% (37/56),47% (36/76),55% (73/132),8,0,82% (9/11),36% (4/11),59% (13/22),"['3', '4', '6', '5']","['2', '3', '5', '4']",[],[],[],1.31
12.07.,Ritschard A.,0,,,,,,7,3,54%,63% (26/41),40% (14/35),50% (4/8),24% (8/33),48% (11/23),100% (2/2),23,40,43% (3/7),53% (40/76),34% (19/56),45% (59/132),2,0,64% (7/11),18% (2/11),41% (9/22),"['3', '1']","['2', '0']",[],[],[],3.44
05.07.,Choinski J.,2,,,,,,0,3,61%,65% (41/63),51% (21/41),56% (5/9),36% (23/64),57% (32/56),31% (5/16),60% (62/104),46% (55/120),52% (117/224),6,0,73% (11/15),33% (5/15),53% (16/30),"['2', '0', '4', '2', '6', '4']",[],"['3', '1', '6', '4']",[],[],2.04
05.07.,Trungelliti M.,1,,,,,,8,11,53%,64% (41/64),43% (24/56),69% (11/16),35% (22/63),49% (20/41),44% (4/9),54% (65/120),40% (42/104),48% (107/224),4,5,67% (10/15),27% (4/15),47% (14/30),"['2', '3', '3', '4']","['5', '4']","['4', '5']",[],[],1.71
04.07.,Trungelliti M.,2,,,,,,3,5,52%,74% (34/46),40% (17/42),70% (7/10),38% (17/45),63% (20/32),40% (4/10),58% (51/88),48% (37/77),53% (88/165),8,0,73% (8/11),36% (4/11),55% (12/22),"['4', '2', '6', '6']","['1', '0', '5', '4']",[],[],[],1.55
04.07.,Sanchez Izquierdo N.,0,,,,,,0,3,58%,62% (28/45),38% (12/32),60% (6/10),26% (12/46),60% (25/42),30% (3/10),52% (40/77),42% (37/88),47% (77/165),2,0,64% (7/11),27% (3/11),45% (10/22),"['4', '5', '6', '5']","['2', '2']",[],[],[],2.36
03.07.,Trungelliti M.,2,,,,,,1,8,65%,62% (33/53),48% (14/29),56% (5/9),44% (30/68),53% (20/38),29% (5/17),57% (47/82),47% (50/106),52% (97/188),6,0,69% (9/13),38% (5/13),54% (14/26),[],"['2', '0', '3', '3', '5', '3']","['1', '0', '6', '3']",[],[],1.35
03.07.,Martineau M.,1,,,,,,4,9,64%,56% (38/68),47% (18/38),71% (12/17),38% (20/53),52% (15/29),44% (4/9),53% (56/106),43% (35/82),48% (91/188),4,2,62% (8/13),31% (4/13),46% (12/26),"['1', '0', '4', '1']","['1', '2', '3', '2']",[],[],[],3.04
01.07.,Trungelliti M.,2,,,,,,1,13,55%,74% (37/50),44% (18/41),69% (9/13),33% (17/51),64% (28/44),43% (6/14),60% (55/91),47% (45/95),54% (100/186),8,0,71% (10/14),46% (6/13),59% (16/27),"['4', '4']","['1', '1', '3', '1', '5', '1']","['2', '3', '5', '4']",[],[],1.19
01.07.,Bax F.,1,,,,,,7,4,54%,67% (34/51),36% (16/44),57% (8/14),26% (13/50),56% (23/41),31% (4/13),53% (50/95),40% (36/91),46% (86/186),2,0,54% (7/13),29% (4/14),41% (11/27),"['4', '3', '5', '4']","['1', '0']","['2', '0']",[],[],4.55
25.06.,Faria J.,2,,,,,,6,5,65%,78% (35/45),46% (11/24),67% (2/3),31% (12/39),58% (19/33),30% (3/10),36,28,60% (9/15),67% (46/69),43% (31/72),55% (77/141),7,0,91% (10/11),30% (3/10),62% (13/21),1728,"['3', '1']","['4', '3', '6', '5']",[],[],[],1.48
