Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,15/17,11/12,0/2,4/3,-,-
2024,5/5,5/5,-,-,-,-
2023,7/6,4/5,-,3/1,-,-
2022,2/5,1/1,0/2,1/2,-,-
2021,1/1,1/1,-,-,-,-
