Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
18.06.,Lazarov G.,2,,,,,,"['2', '1', '5', '4']","['2', '0', '5', '1']",[],[],[],1.08
18.06.,Bancalari A.,0,,,,,,"['3', '3', '5', '5']",[],[],[],[],6.45
23.03.,Pereira J.,2,,,,,,2,2,63%,74% (29/39),48% (11/23),60% (3/5),43% (17/40),49% (20/41),40% (4/10),65% (40/62),46% (37/81),54% (77/143),9,0,80% (8/10),40% (4/10),60% (12/20),"['1', '0']","['1', '0', '3', '2', '5', '4']",[],[],[],1.08
23.03.,Bancalari A.,0,,,,,,3,4,49%,57% (23/40),51% (21/41),60% (6/10),26% (10/39),52% (12/23),40% (2/5),54% (44/81),35% (22/62),46% (66/143),1,1,60% (6/10),20% (2/10),40% (8/20),[],"['1', '1', '4', '4']",[],[],[],6.88
21.01.,Ribero F.,2,,,,,,"['6', '4']","['2', '2', '6', '4']",[],[],[],1.18
21.01.,Bancalari A.,0,,,,,,[],"['1', '0']",[],[],[],4.43
03.12.2024,Monzon I.,2,,,,,,"['3', '3', '4', '4', '7', '5']",[],"['4', '2', '6', '2']",[],[],1.10
03.12.2024,Bancalari A.,1,,,,,,"['3', '2', '4', '3']","['2', '1']",[],[],[],5.91
25.11.2024,Gil Garcia A.,2,,,,,,"['1', '0', '4', '1']","['2', '1', '5', '2', '6', '3']",[],[],[],1.45
25.11.2024,Bancalari A.,0,,,,,,[],"['3', '5']",[],[],[],2.59
14.11.2024,Zhu E.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '0']",[],[],[],1.03
14.11.2024,Bancalari A.,0,,,,,,[],[],[],[],[],9.15
12.11.2024,Bancalari A.,2,,,,,,"['2', '2', '6', '4']","['2', '0', '4', '0', '6', '0']",[],[],[],-
12.11.2024,Zuniga Garcia B.,0,,,,,,"['1', '0']",[],[],[],[],-
11.09.2024,Barrena A.,2,,,,,,"['1', '0', '4', '3', '5', '4']","['1', '0', '4', '1']",[],[],[],1.07
11.09.2024,Bancalari A.,0,,,,,,"['1', '1', '4', '4']",[],[],[],[],7.50
21.04.2024,Decamps G.,2,,,,,,1,6,70%,72% (28/39),59% (10/17),75% (3/4),43% (9/21),54% (14/26),100% (4/4),68% (38/56),49% (23/47),59% (61/103),8,0,89% (8/9),50% (4/8),71% (12/17),"['1', '1', '3', '1']","['2', '1', '5', '2']",[],[],[],1.03
21.04.2024,Bancalari A.,0,,,,,,2,3,45%,57% (12/21),46% (12/26),0% (0/4),28% (11/39),41% (7/17),25% (1/4),51% (24/47),32% (18/56),41% (42/103),2,1,50% (4/8),11% (1/9),29% (5/17),"['1', '0']",[],[],[],[],9.65
12.12.2023,Mena F.,2,,,,,,[],[],[],[],[],1.05
12.12.2023,Bancalari A.,0,,,,,,[],[],[],[],[],8.25
07.12.2023,Aboian V.,2,,,,,,[],[],[],[],[],1.09
07.12.2023,Bancalari A.,0,,,,,,[],[],[],[],[],6.49
06.12.2023,Bancalari A.,2,,,,,,[],[],[],[],[],3.56
06.12.2023,Bruna E.,0,,,,,,[],[],[],[],[],1.26
26.11.2023,Kestelboim M.,2,,,,,,0,4,75%,67% (20/30),50% (5/10),33% (1/3),61% (14/23),94% (15/16),88% (7/8),63% (25/40),74% (29/39),68% (54/79),71% (5/7),88% (7/8),80% (12/15),"['1', '0', '3', '0', '5', '0', '6', '1']","['2', '0', '5', '1', '6', '2']",[],[],[],1.01
26.11.2023,Bancalari A.,0,,,,,,1,3,59%,39% (9/23),6% (1/16),13% (1/8),33% (10/30),50% (5/10),67% (2/3),26% (10/39),38% (15/40),32% (25/79),13% (1/8),29% (2/7),20% (3/15),"['1', '5']","['2', '5']",[],[],[],13.50
