Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,338/248,188/149,143/91,2/6,-,5/2
2024,17/11,12/8,4/2,-,-,1/1
2023,17/16,12/12,1/3,-,-,4/1
2022,21/20,6/8,15/12,-,-,-
2021,31/16,8/5,23/11,-,-,-
2020,2/3,-,2/3,-,-,-
2019,34/16,13/6,21/10,-,-,-
2018,9/12,2/5,6/4,1/3,-,-
2017,11/15,7/8,4/6,0/1,-,-
2016,33/20,29/16,4/4,-,-,-
2015,30/21,18/15,12/6,-,-,-
2014,39/24,19/13,19/9,1/2,-,-
2013,28/17,13/8,15/9,-,-,-
2012,24/14,19/11,5/3,-,-,-
2011,27/23,15/14,12/9,-,-,-
2010,4/7,4/7,-,-,-,-
2009,9/8,9/8,-,-,-,-
2008,2/4,2/4,-,-,-,-
2007,0/1,0/1,-,-,-,-
