Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
18.06.,Salazar A.,2,,,,,,"['2', '2']","['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],-
18.06.,Mujakic A.,1,,,,,,"['1', '0', '3', '2', '6', '3']",[],[],[],[],-
28.05.,Falabella L. A.,2,,,,,,"['1', '0', '2', '1', '5', '2']","['1', '0', '3', '2', '6', '3']",[],[],[],2.06
28.05.,Mujakic A.,0,,,,,,"['1', '1']","['1', '1']",[],[],[],1.68
25.05.,Cuenin S.,2,,,,,,"['2', '0', '5', '1', '6', '4']","['2', '0', '4', '0', '6', '0']",[],[],[],1.27
25.05.,Mujakic A.,0,,,,,,"['2', '5', '4', '5']",[],[],[],[],3.46
24.05.,Mujakic A.,2,,,,,,"['1', '0', '4', '3', '6', '3']","['1', '1', '3', '3', '5', '3']",[],[],[],1.66
24.05.,Dinev D.,0,,,,,,"['1', '1']","['1', '0', '2', '1']",[],[],[],2.11
23.05.,Mujakic A.,2,,,,,,"['4', '2', '5', '3']","['3', '2', '6', '3']",[],[],[],2.16
23.05.,Falabella L. A.,0,,,,,,"['3', '4']",[],[],[],[],1.63
22.05.,Mujakic A.,2,,,,,,"['2', '0', '4', '0', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.39
22.05.,Mikovic M.,0,,,,,,"['1', '4']",[],[],[],[],2.81
21.05.,Mujakic A.,2,,,,,,"['1', '0', '2', '1', '4', '1', '5', '2', '6', '3']","['4', '4', '6', '6']",[],[],[],3.09
