Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,167/126,163/117,3/7,-,-,1/2
2024,43/19,42/18,-,-,-,1/1
2023,37/29,34/23,3/5,-,-,0/1
2022,38/23,38/23,-,-,-,-
2021,36/25,36/25,-,-,-,-
2020,3/5,3/3,0/2,-,-,-
2019,6/14,6/14,-,-,-,-
2018,4/9,4/9,-,-,-,-
2017,0/1,0/1,-,-,-,-
2016,0/1,0/1,-,-,-,-
