Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,21/21,10/17,-,-,-,11/4
2024,7/6,7/6,-,-,-,-
2023,5/4,2/3,-,-,-,3/1
2022,9/10,1/7,-,-,-,8/3
2021,0/1,0/1,-,-,-,-
