Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,557/328,199/157,328/152,21/12,0/1,9/6
2024,12/10,5/3,7/7,-,-,-
2023,29/20,1/3,20/16,8/1,-,-
2022,22/14,7/4,6/4,-,-,9/6
2021,12/10,1/7,11/3,-,-,-
2020,3/6,-,2/5,1/1,-,-
2019,16/18,0/8,16/10,-,-,-
2018,68/21,19/8,47/11,2/2,-,-
2017,43/23,3/6,40/17,-,-,-
2016,48/30,11/16,36/12,1/1,0/1,-
2015,71/29,20/8,51/18,0/3,-,-
2014,60/35,19/19,41/16,-,-,-
2013,52/35,30/21,14/11,8/3,-,-
2012,51/28,36/20,14/7,1/1,-,-
2011,42/28,28/21,14/7,-,-,-
2010,22/14,15/10,7/4,-,-,-
2009,6/7,4/3,2/4,-,-,-
