Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,105/60,79/49,15/8,-,-,11/3
2024,43/22,40/19,2/2,-,-,1/1
2023,44/21,27/16,7/3,-,-,10/2
2022,13/8,9/6,4/2,-,-,-
2021,2/5,0/4,2/1,-,-,-
2020,2/2,2/2,-,-,-,-
2019,1/2,1/2,-,-,-,-
