Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,474/314,88/64,271/176,43/24,67/47,5/3
2024,31/20,3/5,22/11,2/1,4/3,-
2023,41/29,0/3,22/16,7/3,12/6,0/1
2022,40/26,2/6,18/14,7/1,12/5,1/0
2021,23/25,2/6,10/11,2/3,9/5,-
2020,12/13,1/2,5/6,5/5,-,1/0
2019,31/25,9/5,14/14,2/2,6/4,-
2018,53/29,6/4,32/15,12/3,3/6,0/1
2017,36/29,6/5,21/17,0/1,6/5,3/1
2016,49/27,9/4,30/16,5/2,5/5,-
2015,57/31,10/4,38/19,1/2,8/6,-
2014,46/33,16/9,28/22,0/1,2/1,-
2013,51/23,22/9,29/13,-,0/1,-
2012,2/2,2/2,-,-,-,-
2011,2/1,-,2/1,-,-,-
2010,0/1,-,0/1,-,-,-
