Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,324/242,100/54,156/134,33/26,23/24,12/4
2024,2/2,2/1,0/1,-,-,-
2023,11/11,7/5,3/4,-,1/2,-
2022,6/9,-,4/6,2/3,-,-
2021,5/4,-,5/3,0/1,-,-
2020,18/12,12/7,6/5,-,-,-
2019,8/20,0/2,8/16,-,0/2,-
2018,30/22,3/4,11/13,8/3,6/2,2/0
2017,13/21,6/4,7/13,0/1,0/3,-
2016,31/24,4/4,21/13,1/3,5/4,-
2015,14/19,1/4,10/7,2/2,1/4,0/2
2014,47/24,15/5,19/13,3/4,6/2,4/0
2013,44/25,15/6,17/12,3/2,4/4,5/1
2012,47/16,19/5,18/8,10/2,0/1,-
2011,26/16,6/2,16/10,3/3,-,1/1
2010,12/8,8/3,3/4,1/1,-,-
2009,4/3,2/1,2/2,-,-,-
2008,6/6,0/1,6/4,0/1,-,-
