Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,46/44,13/7,27/32,0/2,-,6/3
2024,7/10,4/3,3/6,0/1,-,-
2023,10/13,-,6/11,0/1,-,4/1
2022,11/14,-,9/12,-,-,2/2
2021,9/3,-,9/3,-,-,-
2019,4/2,4/2,-,-,-,-
2018,5/2,5/2,-,-,-,-
