Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,65/44,0/1,50/35,15/8,-,-
2024,15/12,-,13/10,2/2,-,-
2023,6/8,-,2/5,4/3,-,-
2022,20/9,-,12/7,8/2,-,-
2021,16/10,-,16/10,-,-,-
2020,4/2,-,4/2,-,-,-
2019,4/3,0/1,3/1,1/1,-,-
