Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES Cincinnati (USA) - Qualification,hard,header
06.08.,Cassone M.,1,,,,,,9,4,63%,73% (55/75),62% (28/45),50% (2/4),17% (11/65),42% (21/50),14% (1/7),35,49,50% (5/10),69% (83/120),28% (32/115),49% (115/235),4,0,89% (16/18),6% (1/18),47% (17/36),[],[],[],[],[],0
06.08.,Vukic A.,2,,,,,,15,4,57%,83% (54/65),58% (29/50),86% (6/7),27% (20/75),38% (17/45),50% (2/4),41,42,100% (5/5),72% (83/115),31% (37/120),51% (120/235),6,0,94% (17/18),11% (2/18),53% (19/36),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Lexington (USA),hard,header
30.07.,Cassone M.,0,,,,,,5,5,56%,62% (23/37),45% (13/29),67% (8/12),31% (9/29),14% (2/14),0% (0/0),17,31,63% (5/8),55% (36/66),26% (11/43),43% (47/109),2,1,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],0
30.07.,Hsu Y. H.,2,,,,,,0,0,67%,69% (20/29),86% (12/14),0% (0/0),38% (14/37),55% (16/29),33% (4/12),11,17,83% (5/6),74% (32/43),45% (30/66),57% (62/109),8,0,100% (8/8),44% (4/9),71% (12/17),[],[],[],[],[],0
ATP - SINGLES Washington (USA),hard,header
22.07.,Cassone M.,1,,,,,,11,8,56%,82% (46/56),55% (24/44),67% (4/6),199 km/h,162 km/h,13% (8/61),43% (20/47),25% (1/4),26,34,100% (6/6),70% (70/100),26% (28/108),47% (98/208),5,0,88% (14/16),6% (1/17),45% (15/33),[],[],[],[],[],0
22.07.,Opelka R.,2,,,,,,23,3,56%,87% (53/61),57% (27/47),75% (3/4),216 km/h,173 km/h,18% (10/56),45% (20/44),33% (2/6),46,41,56% (5/9),74% (80/108),30% (30/100),53% (110/208),5,0,94% (16/17),13% (2/16),55% (18/33),[],[],[],[],[],0
ATP - SINGLES Washington (USA) - Qualification,hard,header
21.07.,Cassone M.,1,,,,,,7,1,67%,73% (19/26),62% (8/13),0% (0/1),24% (8/33),52% (13/25),25% (1/4),15,25,133% (4/3),69% (27/39),36% (21/58),49% (48/97),4,0,86% (6/7),13% (1/8),47% (7/15),[],[],[],[],[],0
21.07.,Hijikata R.,0,,,,,,4,5,57%,76% (25/33),48% (12/25),75% (3/4),27% (7/26),38% (5/13),100% (1/1),9,21,67% (2/3),64% (37/58),31% (12/39),51% (49/97),6,0,88% (7/8),14% (1/7),53% (8/15),[],[],[],[],[],0
19.07.,Cassone M.,2,,,,,,6,1,79%,91% (31/34),67% (6/9),100% (2/2),38% (20/52),62% (16/26),20% (3/15),39,15,50% (4/8),86% (37/43),46% (36/78),60% (73/121),5,0,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],0
19.07.,Kwiatkowski T. S.,0,,,,,,3,4,67%,62% (32/52),38% (10/26),80% (12/15),9% (3/34),33% (3/9),0% (0/2),15,21,67% (10/15),54% (42/78),14% (6/43),40% (48/121),5,3,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],0
ATP - SINGLES Los Cabos (Mexico) - Qualification,hard,header
14.07.,Cassone M.,0,,,,,,3,5,59%,74% (28/38),38% (10/26),50% (3/6),17% (7/42),55% (12/22),33% (1/3),14,33,58% (7/12),59% (38/64),30% (19/64),45% (57/128),2,0,70% (7/10),9% (1/11),38% (8/21),[],[],[],[],[],0
14.07.,Mejia N.,2,,,,,,3,1,66%,83% (35/42),45% (10/22),67% (2/3),26% (10/38),62% (16/26),50% (3/6),14,24,75% (3/4),70% (45/64),41% (26/64),55% (71/128),8,0,91% (10/11),30% (3/10),62% (13/21),[],[],[],[],[],0
13.07.,Cassone M.,2,,,,,,2,9,58%,70% (32/46),45% (15/33),67% (8/12),37% (16/43),61% (27/44),36% (5/14),23,53,50% (3/6),59% (47/79),49% (43/87),54% (90/166),7,0,69% (9/13),42% (5/12),56% (14/25),[],[],[],[],[],0
13.07.,Zhu E.,1,,,,,,2,6,49%,63% (27/43),39% (17/44),64% (9/14),30% (14/46),55% (18/33),33% (4/12),14,42,58% (7/12),51% (44/87),41% (32/79),46% (76/166),3,1,58% (7/12),31% (4/13),44% (11/25),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Newport (USA),grass,header
08.07.,Cassone M.,0,,,,,,6,7,52%,63% (29/46),38% (16/42),58% (7/12),32% (19/60),60% (18/30),50% (5/10),31,49,65% (11/17),51% (45/88),41% (37/90),46% (82/178),2,1,58% (7/12),42% (5/12),50% (12/24),[],[],[],[],[],0
08.07.,Holt B.,2,,,,,,5,3,67%,68% (41/60),40% (12/30),50% (5/10),37% (17/46),62% (26/42),42% (5/12),19,24,65% (15/23),59% (53/90),49% (43/88),54% (96/178),8,0,58% (7/12),42% (5/12),50% (12/24),[],[],[],[],[],0
ATP - SINGLES Wimbledon (United Kingdom) - Qualification,grass,header
23.06.,Cassone M.,1,,,,,,3,2,79%,62% (48/77),35% (7/20),67% (8/12),35% (20/57),44% (11/25),36% (4/11),22,41,58% (15/26),57% (55/97),38% (31/82),48% (86/179),5,0,71% (10/14),29% (4/14),50% (14/28),[],[],[],[],[],0
23.06.,Galarneau A.,2,,,,,,0,2,70%,65% (37/57),56% (14/25),64% (7/11),38% (29/77),65% (13/20),33% (4/12),14,19,70% (7/10),62% (51/82),43% (42/97),52% (93/179),5,0,71% (10/14),29% (4/14),50% (14/28),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Ilkley (United Kingdom),grass,header
11.06.,Cassone M.,0,,,,,,1,1,54%,63% (17/27),61% (14/23),50% (3/6),18% (5/28),43% (15/35),33% (1/3),62% (31/50),32% (20/63),45% (51/113),2,1,67% (6/9),10% (1/10),37% (7/19),[],[],[],[],[],0
11.06.,Riedi L.,2,,,,,,6,4,44%,82% (23/28),57% (20/35),67% (2/3),37% (10/27),39% (9/23),50% (3/6),68% (43/63),38% (19/50),55% (62/113),8,0,90% (9/10),33% (3/9),63% (12/19),[],[],[],[],[],0
10.06.,Cassone M.,2,,,,,,3,0,53%,100% (21/21),79% (15/19),0% (0/0),38% (20/52),55% (12/22),50% (3/6),90% (36/40),43% (32/74),60% (68/114),8,0,100% (9/9),30% (3/10),63% (12/19),[],[],[],[],[],0
10.06.,Eubanks C.,0,,,,,,9,2,70%,62% (32/52),45% (10/22),50% (3/6),0% (0/21),21% (4/19),0% (0/0),57% (42/74),10% (4/40),40% (46/114),2,0,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Ilkley (United Kingdom) - Qualification,grass,header
09.06.,Cassone M.,2,,,,,,6,2,70%,71% (37/52),45% (10/22),50% (3/6),34% (16/47),53% (16/30),44% (4/9),64% (47/74),42% (32/77),52% (79/151),5,0,73% (8/11),36% (4/11),55% (12/22),[],[],[],[],[],0
09.06.,Wendelken H.,0,,,,,,2,2,61%,66% (31/47),47% (14/30),56% (5/9),29% (15/52),55% (12/22),50% (3/6),58% (45/77),36% (27/74),48% (72/151),5,0,64% (7/11),27% (3/11),45% (10/22),[],[],[],[],[],0
08.06.,Cassone M.,2,,,,,,1,0,61%,83% (33/40),62% (16/26),100% (4/4),35% (14/40),46% (13/28),33% (2/6),74% (48/65),37% (25/68),55% (73/133),5,0,100% (10/10),20% (2/10),60% (12/20),[],[],[],[],[],0
08.06.,Stewart H.,0,,,,,,1,3,59%,70% (28/40),54% (15/28),67% (4/6),23% (9/40),38% (10/26),0% (0/4),63% (43/68),26% (17/65),45% (60/133),5,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Birmingham (United Kingdom),grass,header
04.06.,Cassone M.,0,,,,,,1,1,86%,53% (23/43),29% (2/7),20% (1/5),27% (9/33),15% (2/13),0% (0/0),50% (25/50),24% (11/46),38% (36/96),4,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],0
04.06.,Holt B.,2,,,,,,6,0,72%,73% (24/33),85% (11/13),0% (0/0),47% (20/43),71% (5/7),80% (4/5),76% (35/46),50% (25/50),63% (60/96),6,0,100% (8/8),50% (4/8),75% (12/16),[],[],[],[],[],0
03.06.,Cassone M.,2,,,,,,6,3,77%,71% (50/70),52% (11/21),75% (3/4),29% (14/49),45% (20/44),14% (1/7),20,37,50% (3/6),67% (61/91),37% (34/93),52% (95/184),6,0,92% (11/12),8% (1/12),50% (12/24),[],[],[],[],[],0
03.06.,Evans D.,0,,,,,,8,9,53%,71% (35/49),55% (24/44),86% (6/7),29% (20/70),48% (10/21),25% (1/4),26,38,64% (9/14),63% (59/93),33% (30/91),48% (89/184),4,1,92% (11/12),8% (1/12),50% (12/24),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Birmingham (United Kingdom) - Qualification,grass,header
02.06.,Cassone M.,2,,,,,,4,0,67%,75% (27/36),61% (11/18),75% (3/4),24% (7/29),61% (14/23),75% (3/4),70% (38/54),40% (21/52),56% (59/106),6,0,90% (9/10),33% (3/9),63% (12/19),[],[],[],[],[],0
02.06.,Zahraj P.,0,,,,,,7,5,56%,76% (22/29),39% (9/23),25% (1/4),25% (9/36),39% (7/18),25% (1/4),60% (31/52),30% (16/54),44% (47/106),4,0,67% (6/9),10% (1/10),37% (7/19),[],[],[],[],[],0
01.06.,Cassone M.,2,,,,,,6,3,72%,77% (30/39),53% (8/15),100% (4/4),26% (7/27),72% (18/25),57% (4/7),70% (38/54),48% (25/52),59% (63/106),7,0,100% (8/8),50% (4/8),75% (12/16),[],[],[],[],[],0
01.06.,Parker S.,0,,,,,,7,4,52%,74% (20/27),28% (7/25),43% (3/7),23% (9/39),47% (7/15),0% (0/4),52% (27/52),30% (16/54),41% (43/106),3,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],0
ATP - SINGLES French Open (France) - Qualification,clay,header
19.05.,Cassone M.,0,,,,,,1,3,51%,67% (20/30),41% (12/29),67% (8/12),16% (5/31),14% (1/7),0% (0/0),13,21,25% (2/8),54% (32/59),16% (6/38),39% (38/97),4,1,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],0
19.05.,Holmgren A.,2,,,,,,2,0,82%,84% (26/31),86% (6/7),0% (0/0),33% (10/30),59% (17/29),33% (4/12),23,7,50% (3/6),84% (32/38),46% (27/59),61% (59/97),6,0,100% (8/8),44% (4/9),71% (12/17),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Ostrava (Czech Republic),clay,header
29.04.,Cassone M.,0,,,,,,7,4,60%,63% (29/46),45% (14/31),60% (6/10),29% (10/34),44% (18/41),38% (3/8),56% (43/77),37% (28/75),47% (71/152),3,2,64% (7/11),27% (3/11),45% (10/22),[],[],[],[],[],0
29.04.,Kumstat J.,2,,,,,,4,1,45%,71% (24/34),56% (23/41),63% (5/8),37% (17/46),55% (17/31),40% (4/10),63% (47/75),44% (34/77),53% (81/152),7,0,73% (8/11),36% (4/11),55% (12/22),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Tallahassee (USA),clay,header
19.04.,Cassone M.,0,,,,,,0,5,52%,54% (15/28),38% (10/26),25% (2/8),38% (12/32),43% (10/23),33% (2/6),46% (25/54),40% (22/55),43% (47/109),2,1,33% (3/9),25% (2/8),29% (5/17),[],[],[],[],[],0
