Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,406/276,221/121,128/97,37/36,14/15,6/7
2024,36/16,12/5,16/8,0/1,8/2,-
2023,43/30,16/8,20/16,2/1,2/3,3/2
2022,30/25,10/10,13/11,6/2,0/1,1/1
2021,36/23,14/7,17/13,5/2,0/1,-
2020,11/16,8/5,1/8,0/2,-,2/1
2019,51/29,35/13,12/8,4/6,0/1,0/1
2018,31/36,18/16,9/9,4/6,0/3,0/2
2017,31/28,11/9,10/8,6/7,4/4,-
2016,49/26,39/18,5/4,5/4,-,-
2015,17/15,8/8,6/4,3/3,-,-
2014,38/15,17/5,19/8,2/2,-,-
2013,23/7,23/7,-,-,-,-
2012,6/7,6/7,-,-,-,-
2011,4/3,4/3,-,-,-,-
