Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,7/10,7/10,-,-,-,-
2024,6/6,6/6,-,-,-,-
2023,0/3,0/3,-,-,-,-
2022,1/1,1/1,-,-,-,-
