Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,14/16,-,14/15,0/1,-,-
2024,10/12,-,10/11,0/1,-,-
2023,2/3,-,2/3,-,-,-
2022,2/1,-,2/1,-,-,-
