Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,39/32,39/31,-,0/1,-,-
2024,23/15,23/14,-,0/1,-,-
2023,13/14,13/14,-,-,-,-
2022,3/3,3/3,-,-,-,-
