Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,16/11,2/2,9/8,-,-,5/1
2024,2/3,1/1,1/2,-,-,-
2023,4/4,1/1,3/3,-,-,-
2022,10/4,-,5/3,-,-,5/1
