Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,51/42,5/7,46/35,-,-,-
2024,13/12,0/1,13/11,-,-,-
2023,32/25,5/6,27/19,-,-,-
2022,6/5,-,6/5,-,-,-
