Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,69/93,42/53,26/39,-,-,1/1
2024,8/17,4/10,3/7,-,-,1/0
2023,13/20,9/13,4/6,-,-,0/1
2022,12/19,8/7,4/12,-,-,-
2021,17/13,6/4,11/9,-,-,-
2019,6/10,4/7,2/3,-,-,-
2016,3/2,3/2,-,-,-,-
2015,2/3,2/3,-,-,-,-
2014,5/5,3/4,2/1,-,-,-
2013,3/4,3/3,0/1,-,-,-
