Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,559/320,482/262,45/24,19/26,0/1,13/7
2024,29/25,29/25,-,-,-,-
2023,46/27,41/24,0/1,1/1,-,4/1
2022,34/28,26/18,5/4,3/5,0/1,-
2021,67/15,53/10,5/3,-,-,9/2
2020,9/6,9/6,-,-,-,-
2019,21/20,21/20,-,-,-,-
2018,28/25,28/24,0/1,-,-,-
2017,51/23,49/22,-,2/1,-,-
2016,33/30,27/21,5/5,1/4,-,-
2015,60/26,53/21,0/1,7/4,-,-
2014,11/9,11/9,-,-,-,-
2013,38/28,25/16,10/3,3/5,-,0/4
2012,38/19,26/16,12/1,0/2,-,-
2011,50/23,46/17,4/3,0/3,-,-
2010,28/10,22/7,4/2,2/1,-,-
2009,13/3,13/3,-,-,-,-
2007,3/3,3/3,-,-,-,-
