Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,35/40,6/14,29/26,-,-,-
2024,14/23,5/12,9/11,-,-,-
2023,21/16,1/1,20/15,-,-,-
2022,0/1,0/1,-,-,-,-
