Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
20.07.,De Schepper K.,2,,,,,,7,4,67%,87% (26/30),40% (6/15),0% (0/1),58% (14/24),61% (14/23),56% (5/9),21,19,75% (6/8),71% (32/45),60% (28/47),65% (60/92),9,0,88% (7/8),71% (5/7),80% (12/15),"['2', '0', '4', '0', '6', '0']","['3', '3', '5', '3']",[],[],[],1.04
20.07.,Carou I.,0,,,,,,0,7,51%,42% (10/24),39% (9/23),44% (4/9),13% (4/30),60% (9/15),100% (1/1),8,22,50% (2/4),40% (19/47),29% (13/45),35% (32/92),1,0,29% (2/7),13% (1/8),20% (3/15),[],"['3', '2']",[],[],[],8.50
22.06.,Barreiros Reyes M.,2,,,,,,3,1,73%,79% (23/29),64% (7/11),0% (0/0),60% (15/25),63% (10/16),100% (5/5),75% (30/40),61% (25/41),68% (55/81),7,0,100% (7/7),71% (5/7),86% (12/14),"['2', '0', '5', '1']","['1', '0', '4', '1', '6', '1']",[],[],[],1.13
22.06.,Carou I.,0,,,,,,1,4,61%,40% (10/25),38% (6/16),0% (0/5),21% (6/29),36% (4/11),0% (0/0),39% (16/41),25% (10/40),32% (26/81),3,0,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],5.80
11.05.,Rodriguez J. A.,2,,,,,,4,1,55%,83% (20/24),80% (16/20),0% (0/0),38% (9/24),50% (19/38),30% (3/10),82% (36/44),45% (28/62),60% (64/106),6,0,100% (9/9),33% (3/9),67% (12/18),"['5', '4']","['2', '1', '4', '1']",[],[],[],1.22
11.05.,Carou I.,0,,,,,,7,10,39%,63% (15/24),50% (19/38),70% (7/10),17% (4/24),20% (4/20),0% (0/0),55% (34/62),18% (8/44),40% (42/106),4,2,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],4.02
21.04.,Huertas Del Pino C.,2,,,,,,5,1,68%,79% (22/28),54% (7/13),0% (0/0),41% (14/34),69% (18/26),42% (5/12),71% (29/41),53% (32/60),60% (61/101),7,0,100% (7/7),63% (5/8),80% (12/15),"['1', '0', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.08
21.04.,Carou I.,0,,,,,,3,7,57%,59% (20/34),31% (8/26),58% (7/12),21% (6/28),46% (6/13),0% (0/0),47% (28/60),29% (12/41),40% (40/101),3,0,38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],6.80
30.03.,Nunez D. A.,2,,,,,,3,2,45%,68% (13/19),61% (14/23),50% (2/4),50% (12/24),64% (21/33),55% (6/11),64% (27/42),58% (33/57),61% (60/99),8,0,75% (6/8),75% (6/8),75% (12/16),"['2', '0', '4', '0', '6', '2']","['2', '2', '4', '2', '6', '2']",[],[],[],1.32
30.03.,Carou I.,0,,,,,,4,10,42%,50% (12/24),36% (12/33),45% (5/11),32% (6/19),39% (9/23),50% (2/4),42% (24/57),36% (15/42),39% (39/99),2,0,25% (2/8),25% (2/8),25% (4/16),"['2', '5']","['2', '1']",[],[],[],3.20
16.03.,Gimenez I.,2,,,,,,0,4,61%,61% (31/51),45% (15/33),38% (3/8),52% (28/54),46% (17/37),54% (7/13),54% (45/83),49% (45/91),52% (90/174),5,0,64% (9/14),50% (7/14),57% (16/28),"['2', '0']","['4', '2', '6', '2']","['2', '0', '3', '1', '5', '3', '6', '4']",[],[],1.42
16.03.,Carou I.,1,,,,,,3,3,59%,48% (26/54),54% (20/37),46% (6/13),39% (20/51),55% (18/33),63% (5/8),51% (46/91),46% (38/83),48% (84/174),5,0,50% (7/14),36% (5/14),43% (12/28),"['2', '3', '4', '3']",[],"['1', '2', '3', '4', '4', '5']",[],[],2.73
