Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,159/202,131/159,26/34,-,-,2/9
2024,7/16,7/16,-,-,-,-
2023,19/33,16/24,1/4,-,-,2/5
2022,24/29,22/24,2/2,-,-,0/3
2021,33/27,33/26,-,-,-,0/1
2020,11/13,3/4,8/9,-,-,-
2019,16/27,11/19,5/8,-,-,-
2018,22/26,14/19,8/7,-,-,-
2017,17/12,17/12,-,-,-,-
2016,5/13,3/9,2/4,-,-,-
2015,5/6,5/6,-,-,-,-
