Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.03.,Kamath M.,2,,,,,,"['6', '4']","['2', '0', '4', '0', '6', '0']",[],[],[],-
13.03.,Lomakin G.,0,,,,,,[],[],[],[],[],-
04.03.,Jin Y.,2,,,,,,"['2', '0', '4', '0', '6', '0']",[],"['2', '0', '4', '0']",[],[],2.16
04.03.,Lomakin G.,1,,,,,,[],"['4', '3']",[],[],[],1.63
26.02.,Ehrenschneider N.,2,,,,,,"['2', '0', '5', '1']","['3', '2', '6', '3']",[],[],[],-
26.02.,Lomakin G.,0,,,,,,[],[],[],[],[],-
17.01.,Agafonov E.,2,,,,,,"['2', '0']","['2', '1', '4', '1']",[],[],[],1.31
17.01.,Lomakin G.,0,,,,,,[],[],[],[],[],3.20
16.01.,Lomakin G.,2,,,,,,[],"['6', '4']","['3', '3', '7', '5']",[],[],3.72
16.01.,Singh K.,1,,,,,,"['5', '3']",[],"['1', '0']",[],[],1.24
15.01.,Lomakin G.,2,,,,,,"['2', '0', '4', '0']","['3', '2']",[],[],[],1.90
15.01.,Shanmugam A.,0,,,,,,[],[],[],[],[],1.80
01.01.,Suresh D.,2,,,,,,"['5', '3']","['1', '0']",[],[],[],1.17
01.01.,Lomakin G.,0,,,,,,[],[],[],[],[],4.48
13.11.2024,Sheehy J.,2,,,,,,[],"['1', '2', '3', '4', '5', '4']",[],[],[],1.43
13.11.2024,Lomakin G.,0,,,,,,[],"['2', '0', '3', '1']",[],[],[],2.66
27.10.2024,Matsuda R.,2,,,,,,1,0,67%,67% (38/57),61% (17/28),75% (6/8),31% (17/54),64% (25/39),31% (4/13),65% (55/85),45% (42/93),54% (97/178),7,0,85% (11/13),31% (4/13),58% (15/26),[],"['3', '3', '5', '3']","['3', '2', '5', '2']",[],[],1.23
27.10.2024,Lomakin G.,1,,,,,,6,4,58%,69% (37/54),36% (14/39),69% (9/13),33% (19/57),39% (11/28),25% (2/8),55% (51/93),35% (30/85),46% (81/178),3,0,69% (9/13),15% (2/13),42% (11/26),"['4', '2']","['1', '0']",[],[],[],3.90
20.10.2024,Marinkov P.,2,,,,,,8,2,57%,86% (31/36),59% (16/27),67% (2/3),29% (12/41),50% (15/30),29% (2/7),74% (46/62),38% (27/71),55% (73/133),7,0,91% (10/11),20% (2/10),57% (12/21),"['4', '2']","['2', '3']",[],[],[],1.37
20.10.2024,Lomakin G.,0,,,,,,7,2,58%,71% (29/41),50% (15/30),71% (5/7),14% (5/36),41% (11/27),33% (1/3),62% (44/71),26% (16/62),45% (60/133),3,0,80% (8/10),9% (1/11),43% (9/21),[],"['2', '0']",[],[],[],2.94
13.10.2024,Zeng Y.,2,,,,,,13,9,46%,77% (41/53),52% (33/63),71% (5/7),34% (25/73),50% (26/52),31% (4/13),64% (74/116),41% (51/125),52% (125/241),6,0,88% (14/16),27% (4/15),58% (18/31),"['1', '0']","['3', '3', '5', '3']","['2', '1']",[],[],1.70
13.10.2024,Lomakin G.,1,,,,,,18,9,58%,66% (48/73),50% (26/52),69% (9/13),23% (12/53),48% (30/63),29% (2/7),59% (74/125),36% (42/116),48% (116/241),4,0,73% (11/15),13% (2/16),42% (13/31),"['5', '5']","['1', '0']",[],[],[],2.05
