Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,117/129,51/53,64/72,-,2/4,-
2024,35/22,24/14,11/8,-,-,-
2023,25/19,7/5,16/12,-,2/2,-
2022,16/21,7/11,9/10,-,-,-
2021,7/8,3/4,4/4,-,-,-
2019,0/3,-,0/3,-,-,-
2018,4/6,3/3,1/3,-,-,-
2017,5/13,5/10,0/3,-,-,-
2016,8/16,-,8/15,-,0/1,-
2015,15/15,-,15/14,-,0/1,-
2014,2/6,2/6,-,-,-,-
