Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,82/18,-,24/7,30/4,10/5,18/2
2024,32/5,-,10/2,13/0,9/3,-
2023,17/4,-,-,16/2,1/2,-
2022,18/3,-,0/1,-,-,18/2
2021,4/1,-,4/1,-,-,-
2019,10/3,-,10/3,-,-,-
2018,1/2,-,-,1/2,-,-
