Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.02.,Henning P.,2,,,,,,[],"['1', '0', '4', '3']","['3', '2']",[],[],1.09
02.02.,Bulus C.,1,,,,,,[],"['1', '1']",[],[],[],7.60
01.02.,Bulus C.,2,,,,,,"['2', '5']","['2', '0']","['3', '4', '4', '5']",[],[],4.73
01.02.,van Wyk K.,1,,,,,,"['2', '0', '5', '1']",[],"['4', '2', '5', '3']",[],[],1.20
20.09.2024,Baroni N.,2,,,,,,"['2', '2', '3', '3', '6', '4']","['1', '1', '3', '1', '5', '1']",[],[],[],1.97
20.09.2024,Bulus C.,0,,,,,,"['2', '1', '3', '2']","['1', '0']",[],[],[],1.74
19.09.2024,Bulus C.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '2']",[],[],[],1.17
19.09.2024,Palovic L.,0,,,,,,"['1', '5']","['1', '1']",[],[],[],4.56
18.09.2024,Bulus C.,2,,,,,,"['2', '1']","['4', '3', '6', '3']",[],[],[],1.20
18.09.2024,Al Azmeh T.,0,,,,,,[],[],[],[],[],4.18
23.08.2024,Gorokhov M.,2,,,,,,[],"['2', '0', '5', '3']","['3', '4', '5', '4']",[],[],2.10
23.08.2024,Bulus C.,1,,,,,,"['3', '1']","['3', '4']","['4', '2']",[],[],1.68
22.08.2024,Bulus C.,2,,,,,,"['4', '2']",[],[],[],[],2.83
22.08.2024,Paris T.,0,,,,,,[],[],[],[],[],1.39
21.08.2024,Bulus C.,2,,,,,,"['2', '0', '5', '1']","['6', '4']",[],[],[],1.67
21.08.2024,Dalmasso G.,0,,,,,,"['2', '5']",[],[],[],[],2.11
13.08.2024,Brunclik P.,2,,,,,,"['1', '0', '6', '3']",[],"['3', '1']",[],[],1.46
13.08.2024,Bulus C.,1,,,,,,[],"['4', '3']",[],[],[],2.59
10.08.2024,Dalmasso G.,2,,,,,,"['2', '1', '4', '1', '6', '5']",[],"['2', '1']",[],[],1.86
10.08.2024,Bulus C.,1,,,,,,"['2', '4', '5', '5']","['2', '0', '6', '2']",[],[],[],1.86
09.08.2024,Bulus C.,2,,,,,,"['5', '3']","['2', '1']",[],[],[],1.37
09.08.2024,Stepanov T.,0,,,,,,[],"['2', '2']",[],[],[],2.92
