Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,21/21,10/8,11/13,-,-,-
2024,3/3,2/1,1/2,-,-,-
2023,11/5,4/2,7/3,-,-,-
2022,3/5,3/3,0/2,-,-,-
2021,3/7,1/2,2/5,-,-,-
2020,1/1,-,1/1,-,-,-
