Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,12/16,1/2,10/10,-,1/4,-
2024,3/7,0/1,3/4,-,0/2,-
2023,3/2,-,3/2,-,-,-
2015,1/3,1/1,0/1,-,0/1,-
2014,1/1,-,-,-,1/1,-
2012,4/3,-,4/3,-,-,-
