Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,8/10,2/2,6/8,-,-,-
2024,4/3,0/1,4/2,-,-,-
2023,3/4,2/1,1/3,-,-,-
2022,0/1,-,0/1,-,-,-
2021,1/1,-,1/1,-,-,-
2020,0/1,-,0/1,-,-,-
