Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,70/65,66/60,-,0/1,-,4/4
2024,24/23,24/23,-,-,-,-
2023,29/20,28/18,-,-,-,1/2
2022,17/22,14/19,-,0/1,-,3/2
