Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,240/151,104/64,127/77,6/6,3/4,-
2024,37/30,24/17,10/10,2/1,1/2,-
2023,39/30,10/8,25/16,4/5,0/1,-
2022,38/20,28/17,8/2,-,2/1,-
2021,44/20,22/9,22/11,-,-,-
2020,22/17,5/4,17/13,-,-,-
2019,31/14,10/3,21/11,-,-,-
2018,6/1,-,6/1,-,-,-
2017,8/4,2/1,6/3,-,-,-
2016,7/5,1/2,6/3,-,-,-
2015,7/4,2/1,5/3,-,-,-
2014,1/3,0/1,1/2,-,-,-
2013,0/3,0/1,0/2,-,-,-
