Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES :  US Open (USA) - Qualification,hard,header
ATP - SINGLES :  US Open (USA) - Qualification,hard,header
20.08. 23:10,Hardt N.,0,3,4,,,,2,2,64%,66% (21/32),61% (11/18),67% (4/6),21% (9/43),50% (9/18),0% (0/4),6,64% (32/50),30% (18/61),45% (50/111),1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],2.89
20.08. 23:10,Gojo B.,2,6,6,,,,8,2,70%,79% (34/43),50% (9/18),100% (4/4),34% (11/32),39% (7/18),33% (2/6),7,70% (43/61),36% (18/50),55% (61/111),3,100% (10/10),22% (2/9),63% (12/19),"['3', '1']","['1', '0']",[],[],[],1.40
CHALLENGER MEN - SINGLES :  Santo Domingo (Dominican Republic),clay,header
14.08. 03:25,Hardt N.,1,6,4,3,,,3,6,64%,73% (35/48),48% (13/27),0% (0/3),38% (20/53),41% (12/29),50% (2/4),8,64% (48/75),37% (30/82),50% (78/157),3,79% (11/14),15% (2/13),48% (13/27),"['3', '1', '6', '2']",[],[],[],[],1.31
14.08. 03:25,Tomic B.,2,2,6,6,,,3,0,65%,66% (35/53),59% (17/29),50% (2/4),31% (15/48),52% (14/27),100% (3/3),8,63% (52/82),36% (27/75),50% (79/157),3,85% (11/13),21% (3/14),52% (14/27),[],"['4', '3']","['1', '0', '6', '3']",[],[],3.31
CHALLENGER MEN - SINGLES :  San Marino (San Marino),clay,header
01.08. 19:40,Hardt N.,1,7^7,4,4,,,0,5,64%,64% (47/74),44% (18/41),55% (6/11),28% (19/67),55% (21/38),33% (3/9),8,57% (65/115),38% (40/105),48% (105/220),3,69% (11/16),19% (3/16),44% (14/32),"['5', '4']","['3', '5']","['1', '1']",[],[],2.69
01.08. 19:40,Comesana F.,2,6^2,6,6,,,10,3,64%,72% (48/67),45% (17/38),67% (6/9),36% (27/74),56% (23/41),45% (5/11),10,62% (65/105),43% (50/115),52% (115/220),3,81% (13/16),31% (5/16),56% (18/32),"['5', '5']","['1', '0', '4', '1']","['1', '0', '3', '2']",[],[],1.44
30.07. 14:35,Hardt N.,2,6,6,,,,2,4,65%,65% (24/37),50% (10/20),60% (3/5),66% (19/29),62% (8/13),100% (6/6),7,60% (34/57),64% (27/42),62% (61/99),4,75% (6/8),75% (6/8),75% (12/16),"['1', '0', '3', '0', '6', '1']","['1', '1', '3', '1', '4', '2']",[],[],[],1.45
30.07. 14:35,Janvier M.,0,1,3,,,,3,3,69%,34% (10/29),38% (5/13),0% (0/6),35% (13/37),50% (10/20),40% (2/5),4,36% (15/42),40% (23/57),38% (38/99),1,25% (2/8),25% (2/8),25% (4/16),[],"['1', '0', '2', '3']",[],[],[],2.66
