Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,56/30,23/10,16/15,-,-,17/5
2024,21/8,12/5,0/2,-,-,9/1
2023,25/7,7/2,12/5,-,-,6/0
2022,6/8,4/3,2/5,-,-,-
2021,0/1,-,0/1,-,-,-
2019,3/3,-,2/2,-,-,1/1
2018,1/3,-,-,-,-,1/3
