Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,30/34,-,12/22,18/11,0/1,-
2024,12/15,-,5/9,7/6,-,-
2023,14/16,-,6/11,8/4,0/1,-
2022,4/3,-,1/2,3/1,-,-
