Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,82/78,40/27,37/47,2/1,0/1,3/2
2024,26/16,15/11,9/4,2/1,-,-
2023,29/22,14/7,12/13,-,-,3/2
2022,15/19,8/5,7/13,-,0/1,-
2021,10/17,3/4,7/13,-,-,-
2020,1/3,-,1/3,-,-,-
2018,1/1,-,1/1,-,-,-
