Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,527/393,184/137,145/127,165/93,31/35,2/1
2024,35/26,19/14,5/3,11/8,0/1,-
2023,30/35,5/10,0/8,25/16,0/1,-
2022,44/25,19/12,5/4,20/9,-,-
2021,10/23,5/8,4/10,1/2,0/3,-
2020,8/6,6/2,0/2,2/2,-,-
2019,14/18,7/9,6/5,0/1,0/3,1/0
2018,33/32,11/13,14/12,3/4,5/3,-
2017,35/24,16/5,14/14,1/1,4/4,-
2016,13/18,3/4,7/7,2/5,1/2,-
2015,30/29,9/8,14/15,7/4,0/2,-
2014,38/29,15/8,14/14,4/4,5/3,-
2013,25/23,1/5,16/12,5/2,2/3,1/1
2012,39/25,8/6,20/10,11/5,0/4,-
2011,61/21,26/9,5/3,27/8,3/1,-
2010,45/22,8/7,7/2,29/11,1/2,-
2009,27/19,14/11,0/1,13/7,-,-
2008,26/11,10/4,8/3,4/3,4/1,-
2007,14/7,2/2,6/2,0/1,6/2,-
