Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.11.2024,Pieczonka F.,2,,,,,,"['2', '0', '6', '2']","['5', '3']",[],[],[],1.17
27.11.2024,Pogosian S.,0,,,,,,[],[],[],[],[],4.48
18.09.2024,Bynoe E.,1,,,,,,"['2', '4', '4', '4', '6', '4']","['3', '1']",[],[],[],2.02
18.09.2024,Pogosian S.,0,,,,,,"['1', '0', '4', '1']",[],[],[],[],1.72
12.09.2023,Gulin S.,2,,,,,,[],[],[],[],[],1.17
12.09.2023,Pogosian S.,0,,,,,,[],[],[],[],[],4.52
29.08.2023,Hudd E.,2,,,,,,[],[],[],[],[],1.79
29.08.2023,Pogosian S.,0,,,,,,[],[],[],[],[],1.92
03.05.2023,Artnak B.,2,,,,,,[],[],[],[],[],1.47
03.05.2023,Pogosian S.,0,,,,,,[],[],[],[],[],2.54
15.12.2022,Gentzsch T.,2,,,,,,[],[],[],[],[],1.30
15.12.2022,Pogosian S.,0,,,,,,[],[],[],[],[],3.30
09.02.2022,Hong S. C.,2,,,,,,[],[],[],[],[],1.02
09.02.2022,Pogosian S.,0,,,,,,[],[],[],[],[],12.50
04.02.2022,Popovic S.,2,,,,,,[],[],[],[],[],2.25
04.02.2022,Pogosian S.,1,,,,,,[],[],[],[],[],1.62
20.01.2022,Liaonenka A.,2,,,,,,[],[],[],[],[],2.32
20.01.2022,Pogosian S.,0,,,,,,[],[],[],[],[],1.59
19.01.2022,Pogosian S.,2,,,,,,[],[],[],[],[],1.88
19.01.2022,Arutiunian E.,1,,,,,,[],[],[],[],[],1.88
