Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,538/356,324/151,149/142,40/28,17/27,8/8
2024,24/11,24/10,-,-,0/1,-
2023,17/14,11/5,5/7,0/1,1/1,-
2022,32/17,20/5,7/9,3/1,2/1,0/1
2021,21/17,3/5,16/10,0/1,2/1,-
2020,25/13,9/6,15/5,1/2,-,-
2019,23/24,15/10,5/10,2/1,1/2,0/1
2018,22/25,9/7,9/14,1/2,0/2,3/0
2017,27/27,13/8,6/14,3/2,4/2,1/1
2016,25/22,13/5,11/12,0/1,1/3,0/1
2015,30/23,12/6,14/11,1/1,2/3,1/2
2014,56/22,37/8,12/9,5/3,1/2,1/0
2013,15/22,5/5,8/12,1/3,1/2,-
2012,34/26,17/10,10/8,5/3,1/3,1/2
2011,47/15,40/8,7/6,-,0/1,-
2010,44/27,24/13,13/7,6/5,0/2,1/0
2009,19/20,12/14,0/3,6/2,1/1,-
2008,51/20,34/15,11/5,6/0,-,-
2007,12/5,12/5,-,-,-,-
2006,8/3,8/3,-,-,-,-
2005,6/3,6/3,-,-,-,-
