Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
06.07.,Ayeni A.,2,,,,,,8,4,64%,79% (37/47),59% (16/27),0% (0/0),33% (19/57),43% (9/21),25% (1/4),31,37,65% (24/37),72% (53/74),36% (28/78),53% (81/152),6,0,100% (11/11),9% (1/11),55% (12/22),[],"['1', '0']",[],[],[],1.31
06.07.,Brymer G.,0,,,,,,0,3,73%,67% (38/57),57% (12/21),75% (3/4),21% (10/47),41% (11/27),0% (0/0),13,29,67% (4/6),64% (50/78),28% (21/74),47% (71/152),4,0,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],3.27
02.07.,Godsick N.,2,,,,,,"['3', '3']","['3', '3', '6', '4']","['4', '2', '5', '5', '7', '5']",[],[],1.68
02.07.,Brymer G.,1,,,,,,"['1', '0', '4', '3']","['3', '2']","['3', '4', '5', '4']",[],[],2.06
26.06.,Johns G.,2,,,,,,"['4', '2', '6', '2']","['4', '2', '5', '3']",[],[],[],1.19
26.06.,Brymer G.,0,,,,,,[],"['3', '4']",[],[],[],4.23
25.06.,Brymer G.,2,,,,,,"['1', '2', '4', '3', '6', '3']","['2', '0', '6', '2']",[],[],[],1.94
25.06.,Klintcharov A.,0,,,,,,"['2', '0']",[],[],[],[],1.77
17.06.,Kirchheimer S.,2,,,,,,"['2', '1', '5', '4']","['1', '0', '3', '0', '6', '1']",[],[],[],-
17.06.,Brymer G.,0,,,,,,"['3', '3']",[],[],[],[],-
12.06.,Fenty A.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '5', '2']",[],[],[],1.44
12.06.,Brymer G.,0,,,,,,[],[],[],[],[],2.62
11.06.,Brymer G.,2,,,,,,"['1', '0', '4', '5', '6', '5']","['2', '1', '4', '1', '6', '1']",[],[],[],2.66
11.06.,Bass F.,0,,,,,,"['3', '3', '5', '3']",[],[],[],[],1.43
04.06.,Smith K.,2,,,,,,"['3', '1', '5', '1']","['2', '3', '4', '3']",[],[],[],1.17
04.06.,Brymer G.,0,,,,,,[],"['3', '1']",[],[],[],4.62
28.05.,Vandecasteele Q.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '6', '3']",[],[],[],1.17
28.05.,Brymer G.,0,,,,,,[],[],[],[],[],4.53
13.03.,Vales A.,2,,,,,,"['2', '2', '4', '4', '6', '4']","['5', '3', '7', '5']",[],[],[],1.83
13.03.,Brymer G.,0,,,,,,"['2', '1', '3', '2']","['4', '5']",[],[],[],1.87
11.03.,Brymer G.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '6', '3']",[],[],[],1.14
11.03.,De Boes M.,0,,,,,,[],"['2', '4']",[],[],[],4.95
07.03.,Brymer G.,2,,,,,,"['1', '0', '2', '1']","['1', '2']","['1', '1', '4', '4']",[],[],2.47
07.03.,McCormick T.,1,,,,,,"['1', '1']","['2', '0']","['1', '0', '3', '2']",[],[],1.49
06.03.,Brymer G.,2,,,,,,"['4', '3']",[],"['6', '5']",[],[],2.24
06.03.,Strode E.,1,,,,,,[],"['6', '4']",[],[],[],1.59
04.03.,Brymer G.,2,,,,,,"['4', '3']","['5', '4']",[],[],[],-
04.03.,Gima S.,0,,,,,,[],[],[],[],[],-
26.02.,Ratti L.,2,,,,,,"['5', '3']","['5', '4']",[],[],[],-
26.02.,Brymer G.,0,,,,,,[],[],[],[],[],-
06.09.2023,Suksumrarn T.,2,,,,,,[],[],[],[],[],1.76
06.09.2023,Brymer G.,0,,,,,,[],[],[],[],[],1.95
30.08.2023,Pearson K.,2,,,,,,[],[],[],[],[],1.69
30.08.2023,Brymer G.,0,,,,,,[],[],[],[],[],2.08
23.08.2023,Banthia S.,2,,,,,,[],[],[],[],[],2.36
23.08.2023,Brymer G.,0,,,,,,[],[],[],[],[],1.54
