Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,41/53,-,35/44,3/5,3/4,-
2023,7/10,-,5/8,1/1,1/1,-
2022,7/4,-,4/2,2/1,1/1,-
2020,0/1,-,-,0/1,-,-
2019,0/6,-,0/5,0/1,-,-
2018,6/10,-,6/10,-,-,-
2017,9/9,-,9/9,-,-,-
2016,7/8,-,6/5,0/1,1/2,-
2015,3/2,-,3/2,-,-,-
2014,2/2,-,2/2,-,-,-
2013,0/1,-,0/1,-,-,-
