Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,115/129,87/101,26/25,2/2,0/1,-
2024,21/22,13/18,8/4,-,-,-
2023,12/20,10/14,2/6,-,-,-
2022,18/32,17/25,1/6,-,0/1,-
2021,33/29,23/22,9/5,1/2,-,-
2020,8/11,8/11,-,-,-,-
2019,12/9,12/8,0/1,-,-,-
2018,10/5,4/2,6/3,-,-,-
2017,1/1,0/1,-,1/0,-,-
