Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,20/22,17/17,-,1/1,-,2/4
2024,6/4,6/4,-,-,-,-
2023,4/8,4/8,-,-,-,-
2022,10/10,7/5,-,1/1,-,2/4
