Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,110/96,28/29,82/63,0/4,-,-
2024,37/23,5/5,32/18,-,-,-
2023,26/26,1/5,25/20,0/1,-,-
2022,29/25,11/9,18/14,0/2,-,-
2021,13/17,6/6,7/11,-,-,-
2020,5/4,5/4,-,-,-,-
2019,0/1,-,-,0/1,-,-
