Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,38/19,13/5,12/7,11/6,0/1,2/0
2024,23/10,13/5,8/3,1/1,0/1,1/0
2023,8/7,-,4/4,3/3,-,1/0
2022,7/2,-,-,7/2,-,-
