Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,170/158,42/53,111/86,17/17,0/2,-
2024,0/1,0/1,-,-,-,-
2023,0/4,0/2,0/2,-,-,-
2022,0/1,-,-,0/1,-,-
2021,0/3,-,0/3,-,-,-
2020,7/6,3/5,4/1,-,-,-
2019,3/3,2/1,1/2,-,-,-
2018,4/2,4/2,-,-,-,-
2017,15/8,12/6,3/2,-,-,-
2016,9/8,2/3,7/4,0/1,-,-
2015,13/13,6/8,5/3,2/1,0/1,-
2014,14/22,4/9,8/6,2/6,0/1,-
2013,24/28,1/6,11/15,12/7,-,-
2012,33/20,4/5,28/14,1/1,-,-
2011,24/21,3/3,21/18,-,-,-
2010,21/13,1/2,20/11,-,-,-
2009,2/4,-,2/4,-,-,-
2008,1/1,-,1/1,-,-,-
