Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,39/62,18/17,19/37,2/8,-,-
2024,17/24,11/11,4/6,2/7,-,-
2023,7/9,5/4,2/4,0/1,-,-
2022,12/11,2/2,10/9,-,-,-
2021,3/18,-,3/18,-,-,-
