Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,600/409,325/186,129/109,109/82,16/18,21/14
2024,41/22,24/8,11/10,3/1,2/3,1/0
2023,43/37,18/18,15/5,10/10,0/1,0/3
2022,34/31,16/15,5/5,10/11,-,3/0
2021,36/34,20/18,6/6,6/6,3/3,1/1
2020,30/16,18/5,4/7,6/4,-,2/0
2019,36/33,6/7,15/14,13/9,2/2,0/1
2018,25/31,4/8,7/12,8/8,5/2,1/1
2017,48/29,14/11,18/12,13/3,1/2,2/1
2016,37/32,18/12,8/12,6/6,2/2,3/0
2015,43/27,32/17,9/8,1/1,0/1,1/0
2014,46/33,27/13,10/8,6/8,0/1,3/3
2013,54/26,36/15,4/4,12/6,-,2/1
2012,51/26,35/18,5/2,10/3,1/1,0/2
2011,55/20,43/13,12/4,0/2,-,0/1
2010,14/4,7/2,-,5/2,-,2/0
2009,7/6,7/5,-,0/1,-,-
2008,0/2,0/1,-,0/1,-,-
