Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M15 Oegstgeest (Netherlands),clay,header
ITF MEN - SINGLES :  M15 Dubrovnik (Croatia),clay,header
CHALLENGER MEN - SINGLES :  New Delhi (India) - Qualification,hard,header
10.02. 12:00,Zakharov A.,1,6,4,1,,,8,5,59%,65% (30/46),50% (16/32),43% (3/7),24% (14/59),63% (19/30),22% (2/9),59% (46/78),37% (33/89),47% (79/167),3,0,69% (9/13),15% (2/13),42% (11/26),[],[],[],[],[],1.33
10.02. 12:00,Agafonov E.,2,3,6,6,,,5,13,66%,76% (45/59),37% (11/30),78% (7/9),35% (16/46),50% (16/32),57% (4/7),63% (56/89),41% (32/78),53% (88/167),7,0,85% (11/13),31% (4/13),58% (15/26),[],[],[],[],[],3.14
09.02. 13:35,Zakharov A.,2,3,6,7^7,,,9,6,51%,63% (43/68),51% (33/65),72% (13/18),34% (20/59),54% (28/52),36% (4/11),57% (76/133),43% (48/111),51% (124/244),8,3,69% (11/16),27% (4/15),48% (15/31),[],[],[],[],[],1.15
09.02. 13:35,Rawat S.,1,6,4,6^2,,,5,2,53%,66% (39/59),46% (24/52),64% (7/11),37% (25/68),49% (32/65),28% (5/18),57% (63/111),43% (57/133),49% (120/244),2,1,73% (11/15),31% (5/16),52% (16/31),[],[],[],[],[],4.95
CHALLENGER MEN - SINGLES :  Chennai (India),hard,header
06.02. 12:25,Zakharov A.,1,6,6^5,4,,,14,6,62%,79% (42/53),39% (13/33),25% (1/4),39% (32/82),56% (19/34),56% (5/9),64% (55/86),44% (51/116),52% (106/202),2,0,79% (11/14),36% (5/14),57% (16/28),[],[],[],[],[],1.70
06.02. 12:25,Ovcharenko O.,2,0,7^7,6,,,6,3,71%,61% (50/82),44% (15/34),44% (4/9),21% (11/53),61% (20/33),75% (3/4),56% (65/116),36% (31/86),48% (96/202),8,0,64% (9/14),21% (3/14),43% (12/28),[],[],[],[],[],2.06
04.02. 16:05,Zakharov A.,2,6,6^3,6,,,8,0,61%,76% (37/49),52% (16/31),50% (2/4),37% (21/57),63% (25/40),70% (7/10),66% (53/80),47% (46/97),56% (99/177),9,0,85% (11/13),47% (7/15),64% (18/28),[],[],[],[],[],1.53
04.02. 16:05,Sasikumar M.,1,3,7^7,1,,,4,4,59%,63% (36/57),38% (15/40),30% (3/10),24% (12/49),48% (15/31),50% (2/4),53% (51/97),34% (27/80),44% (78/177),1,0,53% (8/15),15% (2/13),36% (10/28),[],[],[],[],[],2.40
CHALLENGER MEN - SINGLES :  Koblenz (Germany) - Qualification,hard,header
