Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,424/294,192/148,190/105,30/30,2/3,10/8
2024,22/11,18/7,4/4,-,-,-
2023,22/10,15/9,-,7/1,-,-
2022,20/16,9/11,6/3,0/1,-,5/1
2021,9/18,7/15,-,-,-,2/3
2020,9/18,6/10,3/7,-,-,0/1
2019,12/17,10/12,1/2,0/2,1/1,-
2018,45/25,39/17,5/4,1/2,-,0/2
2017,43/23,30/13,10/5,3/4,0/1,-
2016,31/31,18/16,8/10,4/5,-,1/0
2015,46/24,13/10,19/9,14/4,-,0/1
2014,29/25,8/6,21/15,0/4,-,-
2013,47/26,3/1,40/21,1/3,1/1,2/0
2012,63/17,8/6,55/10,0/1,-,-
2011,6/10,2/3,4/6,0/1,-,-
2010,13/13,4/7,9/6,-,-,-
2009,7/9,2/5,5/3,0/1,-,-
2008,0/1,-,-,0/1,-,-
