Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.07.,Ribeiro de Almeida G.,2,,,,,,"['1', '0', '3', '2']","['2', '1', '3', '2', '5', '4', '6', '5']",[],[],[],2.20
26.07.,Schiessl J. E.,0,,,,,,"['2', '2']","['2', '2', '3', '3', '5', '5', '6', '6']",[],[],[],1.61
25.07.,Schiessl J. E.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0']",[],[],[],1.11
25.07.,Loureiro J. V. C.,0,,,,,,[],"['2', '4']",[],[],[],5.45
24.07.,Schiessl J. E.,2,,,,,,"['1', '0', '3', '0', '5', '2', '6', '3']","['2', '0']",[],[],[],1.02
24.07.,Wendler Filho J.,0,,,,,,"['1', '3', '3', '5']",[],[],[],[],9.60
22.07.,Schiessl J. E.,2,,,,,,"['3', '2']","['2', '1']",[],[],[],1.17
22.07.,Tosetto R.,0,,,,,,[],[],[],[],[],4.48
03.07.,Planinsek F. J.,2,,,,,,"['1', '0', '5', '2']","['3', '2', '5', '2']",[],[],[],1.99
03.07.,Schiessl J. E.,0,,,,,,[],[],[],[],[],1.73
02.07.,Schiessl J. E.,2,,,,,,"['2', '0']","['2', '1', '3', '2', '5', '2']",[],[],[],1.25
02.07.,Filip J.,0,,,,,,"['3', '4']","['2', '2']",[],[],[],3.62
22.06.,Schiessl J. E.,2,,,,,,"['1', '0', '2', '1', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],1.78
22.06.,Andreescu S. A.,0,,,,,,"['1', '1', '4', '4']",[],[],[],[],1.92
21.06.,Schiessl J. E.,2,,,,,,"['2', '0']","['2', '1', '5', '2']",[],[],[],2.66
21.06.,Papoe R. M.,0,,,,,,[],[],[],[],[],1.43
20.06.,Schiessl J. E.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '3', '0']",[],[],[],1.82
20.06.,Palosi S.,0,,,,,,"['3', '5']","['2', '4']",[],[],[],1.88
19.06.,Schiessl J. E.,2,,,,,,"['3', '2', '5', '2']","['4', '3', '6', '3']",[],[],[],1.79
19.06.,Turcanu R. D.,0,,,,,,[],[],[],[],[],1.91
18.06.,Schiessl J. E.,2,,,,,,"['2', '1']","['2', '1', '5', '2']",[],[],[],1.27
18.06.,Breazu V. C.,0,,,,,,[],"['3', '5']",[],[],[],3.46
13.06.,Berkieta T.,2,,,,,,"['4', '2', '6', '2']","['2', '0', '4', '0']",[],[],[],1.66
13.06.,Schiessl J. E.,0,,,,,,[],[],[],[],[],2.11
12.06.,Schiessl J. E.,2,,,,,,[],"['5', '5']","['1', '0', '3', '0']",[],[],2.15
12.06.,Papamalamis T.,1,,,,,,"['5', '3']","['1', '0']","['3', '5']",[],[],1.64
11.06.,Schiessl J. E.,2,,,,,,"['2', '1']","['2', '1', '3', '2', '6', '3']","['4', '4']",[],[],1.36
11.06.,Bronzetti A.,1,,,,,,"['3', '3', '6', '4']","['2', '2']","['4', '3']",[],[],2.94
09.06.,Schiessl J. E.,2,,,,,,"['3', '3', '5', '3']","['1', '0', '6', '5']","['2', '0', '3', '1', '5', '1', '6', '2']",[],[],1.20
09.06.,Bilardo J.,1,,,,,,"['3', '2']","['5', '5', '6', '6']","['1', '2', '2', '5']",[],[],4.14
04.06.,Kupcic J.,2,,,,,,"['2', '0', '5', '1']",[],"['2', '0', '6', '2']",[],[],2.11
04.06.,Schiessl J. E.,1,,,,,,[],"['2', '0']",[],[],[],1.66
29.05.,Barrena A.,2,,,,,,"['1', '0', '3', '2', '5', '2']","['2', '1', '5', '2']",[],[],[],1.31
29.05.,Schiessl J. E.,0,,,,,,"['2', '2']",[],[],[],[],3.20
28.05.,Schiessl J. E.,2,,,,,,"['1', '0', '3', '0']","['3', '2']",[],[],[],1.28
28.05.,Petak D.,0,,,,,,"['3', '5']",[],[],[],[],3.40
27.05.,Schiessl J. E.,2,,,,,,"['3', '2', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.45
27.05.,Hjorth P.,0,,,,,,[],[],[],[],[],2.59
05.05.,Leite W.,2,,,,,,3,0,48%,73% (30/41),59% (26/44),50% (3/6),16% (7/45),67% (22/33),60% (3/5),66% (56/85),37% (29/78),52% (85/163),9,0,80% (12/15),21% (3/14),52% (15/29),[],"['1', '0', '4', '1']","['5', '4']",[],[],2.81
05.05.,Schiessl J. E.,1,,,,,,5,5,58%,84% (38/45),33% (11/33),40% (2/5),27% (11/41),41% (18/44),50% (3/6),63% (49/78),34% (29/85),48% (78/163),1,0,79% (11/14),20% (3/15),48% (14/29),"['1', '0', '6', '3']","['3', '5']",[],[],[],1.40
04.05.,Schiessl J. E.,2,,,,,,2,0,62%,76% (16/21),77% (10/13),100% (1/1),53% (8/15),76% (19/25),60% (6/10),76% (26/34),68% (27/40),72% (53/74),8,0,100% (6/6),100% (6/6),100% (12/12),"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.01
04.05.,Rodrigues Longobardi P.,0,,,,,,0,8,38%,47% (7/15),24% (6/25),40% (4/10),24% (5/21),23% (3/13),0% (0/1),33% (13/40),24% (8/34),28% (21/74),2,0,0% (0/6),0% (0/6),0% (0/12),[],[],[],[],[],12.20
28.04.,Casanova H.,2,,,,,,1,1,89%,64% (45/70),67% (6/9),90% (9/10),38% (20/53),47% (15/32),27% (3/11),65% (51/79),41% (35/85),52% (86/164),6,0,90% (9/10),27% (3/11),57% (12/21),"['1', '0', '6', '3']","['3', '1']",[],[],[],1.57
28.04.,Schiessl J. E.,0,,,,,,1,1,62%,62% (33/53),53% (17/32),73% (8/11),36% (25/70),33% (3/9),10% (1/10),59% (50/85),35% (28/79),48% (78/164),4,4,73% (8/11),10% (1/10),43% (9/21),[],"['4', '5']",[],[],[],2.31
27.04.,Schiessl J. E.,2,,,,,,2,0,75%,58% (42/72),54% (13/24),43% (3/7),43% (24/56),38% (11/29),44% (4/9),57% (55/96),41% (35/85),50% (90/181),5,0,69% (9/13),33% (4/12),52% (13/25),"['4', '2', '6', '2']",[],"['3', '2', '4', '3']",[],[],1.36
27.04.,Gimenez I.,1,,,,,,1,2,66%,57% (32/56),62% (18/29),56% (5/9),42% (30/72),46% (11/24),57% (4/7),59% (50/85),43% (41/96),50% (91/181),5,3,67% (8/12),31% (4/13),48% (12/25),[],"['2', '1', '4', '1', '6', '1']","['3', '3']",[],[],2.99
22.04.,Midon L.,2,,,,,,3,0,46%,93% (25/27),59% (19/32),100% (4/4),22% (7/32),53% (9/17),50% (2/4),75% (44/59),33% (16/49),56% (60/108),6,0,100% (10/10),22% (2/9),63% (12/19),"['5', '3']","['4', '3']",[],[],[],1.20
22.04.,Schiessl J. E.,0,,,,,,0,1,65%,78% (25/32),47% (8/17),50% (2/4),7% (2/27),41% (13/32),0% (0/4),67% (33/49),25% (15/59),44% (48/108),4,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],4.22
31.03.,Nunez D. A.,2,,,,,,3,4,43%,72% (18/25),55% (18/33),50% (2/4),48% (16/33),67% (14/21),67% (6/9),62% (36/58),56% (30/54),59% (66/112),8,0,78% (7/9),67% (6/9),72% (13/18),"['2', '0', '4', '0', '6', '0']","['4', '2', '5', '5', '7', '5']",[],[],[],3.38
31.03.,Schiessl J. E.,0,,,,,,0,2,61%,52% (17/33),33% (7/21),33% (3/9),28% (7/25),45% (15/33),50% (2/4),44% (24/54),38% (22/58),41% (46/112),2,0,33% (3/9),22% (2/9),28% (5/18),[],"['3', '4', '5', '4']",[],[],[],1.30
30.03.,Schiessl J. E.,2,,,,,,4,2,73%,74% (28/38),71% (10/14),100% (2/2),29% (9/31),73% (16/22),75% (3/4),73% (38/52),47% (25/53),60% (63/105),5,0,100% (9/9),33% (3/9),67% (12/18),"['1', '0', '5', '2']","['3', '2']",[],[],[],1.28
30.03.,Goncalves V.,0,,,,,,2,8,58%,71% (22/31),27% (6/22),25% (1/4),26% (10/38),29% (4/14),0% (0/2),53% (28/53),27% (14/52),40% (42/105),5,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],3.47
14.03.,Elias G.,2,,,,,,"['3', '2', '5', '4']","['1', '0', '4', '1']",[],[],[],1.18
14.03.,Schiessl J. E.,0,,,,,,"['4', '4']",[],[],[],[],4.47
04.03.,Loffhagen G.,2,,,,,,"['2', '0', '3', '1', '5', '1']","['1', '0', '4', '1', '6', '1']",[],[],[],1.19
04.03.,Schiessl J. E.,0,,,,,,"['1', '2']",[],[],[],[],4.24
27.02.,Zhou Y.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '2', '1']","['1', '1', '3', '1', '5', '1']",[],[],1.33
27.02.,Schiessl J. E.,1,,,,,,[],"['1', '1', '3', '3', '5', '3']","['1', '0']",[],[],3.09
25.02.,Schiessl J. E.,2,,,,,,"['1', '0']","['2', '0', '4', '0']","['2', '1']",[],[],1.22
25.02.,Genov A.,1,,,,,,"['2', '2', '5', '3']","['1', '4']",[],[],[],3.91
25.01.,Rodriguez L. J.,2,,,,,,"['2', '3', '3', '4']","['5', '4']","['4', '3']",[],[],2.32
25.01.,Schiessl J. E.,1,,,,,,"['3', '1', '4', '2', '6', '4']",[],[],[],[],1.55
24.01.,Schiessl J. E.,2,,,,,,"['2', '0']","['1', '0', '3', '0']",[],[],[],1.23
24.01.,De La Fuente S.,0,,,,,,[],[],[],[],[],3.81
22.01.,Schiessl J. E.,2,,,,,,"['1', '0', '3', '2', '6', '3']","['2', '0', '4', '0']",[],[],[],1.18
22.01.,Price S.,0,,,,,,"['2', '2']",[],[],[],[],4.43
18.11.2024,Midon L.,2,,,,,,4,0,68%,72% (36/50),58% (14/24),80% (4/5),37% (23/62),53% (9/17),40% (4/10),68% (50/74),41% (32/79),54% (82/153),6,0,92% (11/12),33% (4/12),63% (15/24),[],"['2', '0', '5', '1']","['1', '0', '5', '2']",[],[],1.48
18.11.2024,Schiessl J. E.,1,,,,,,7,0,78%,63% (39/62),47% (8/17),60% (6/10),28% (14/50),42% (10/24),20% (1/5),59% (47/79),32% (24/74),46% (71/153),4,0,67% (8/12),8% (1/12),38% (9/24),"['3', '1']",[],[],[],[],2.53
17.11.2024,Schiessl J. E.,2,,,,,,2,2,83%,67% (45/67),57% (8/14),86% (6/7),30% (13/43),65% (13/20),50% (3/6),65% (53/81),41% (26/63),55% (79/144),7,0,91% (10/11),30% (3/10),62% (13/21),"['2', '0']","['4', '5', '6', '5']",[],[],[],1.51
17.11.2024,Huertas Del Pino C.,0,,,,,,5,0,68%,70% (30/43),35% (7/20),50% (3/6),33% (22/67),43% (6/14),14% (1/7),59% (37/63),35% (28/81),45% (65/144),3,1,70% (7/10),9% (1/11),38% (8/21),[],"['2', '0']",[],[],[],2.46
15.11.2024,Soto M.,2,,,,,,"['1', '0']","['4', '2']",[],[],[],1.41
15.11.2024,Schiessl J. E.,0,,,,,,"['2', '2']",[],[],[],[],2.73
14.11.2024,Schiessl J. E.,2,,,,,,"['3', '3', '5', '3', '6', '4']","['1', '1', '2', '2', '6', '4']",[],[],[],1.45
14.11.2024,Rodriguez L. J.,0,,,,,,"['3', '2', '4', '5']","['1', '0', '2', '1']",[],[],[],2.59
12.11.2024,Schiessl J. E.,1,,,,,,"['1', '0', '3', '2', '5', '2']","['1', '0']",[],[],[],1.50
12.11.2024,Pereira J.,0,,,,,,"['2', '2']",[],[],[],[],2.44
05.11.2024,Schiessl J. E.,2,,,,,,"['3', '2', '4', '3', '6', '3']","['3', '1', '5', '5']","['4', '4', '6', '4']",[],[],1.07
05.11.2024,Fernandez B.,1,,,,,,"['3', '3']","['2', '3', '4', '3', '6', '5']","['3', '2']",[],[],7.10
31.10.2024,Soto M.,2,,,,,,"['1', '0', '3', '0']",[],"['2', '2', '4', '2', '5', '3', '6', '4']",[],[],1.53
31.10.2024,Schiessl J. E.,1,,,,,,[],"['2', '0']","['1', '0', '3', '4', '4', '5']",[],[],2.37
