Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,14/11,-,14/11,-,-,-
2024,3/4,-,3/4,-,-,-
2023,9/4,-,9/4,-,-,-
2022,1/2,-,1/2,-,-,-
2020,1/1,-,1/1,-,-,-
