Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,499/435,55/63,334/267,79/67,26/35,5/3
2023,8/14,1/3,2/7,1/2,0/1,4/1
2022,19/20,2/3,11/12,6/5,-,-
2021,15/19,2/3,10/13,3/3,-,-
2020,26/13,-,24/10,2/3,-,-
2019,26/28,0/1,23/22,1/4,2/1,-
2018,13/22,1/4,11/13,0/1,1/4,-
2017,25/24,0/4,17/15,3/2,5/3,-
2016,30/25,9/5,10/14,4/3,7/3,-
2015,29/26,2/5,21/14,5/3,0/3,1/1
2014,30/28,11/6,15/14,3/4,1/3,0/1
2013,49/23,5/2,32/14,9/4,3/3,-
2012,6/27,0/6,3/12,3/5,0/4,-
2011,51/27,7/3,31/14,7/5,6/5,-
2010,40/28,3/3,34/21,3/3,0/1,-
2009,33/27,2/3,23/16,8/7,0/1,-
2008,26/26,4/5,15/14,6/4,1/3,-
2007,53/24,2/2,38/17,13/5,-,-
2006,15/18,2/2,11/13,2/3,-,-
2005,2/9,2/2,0/6,0/1,-,-
2004,3/7,0/1,3/6,-,-,-
