Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,456/343,318/208,114/84,18/37,3/9,3/5
2024,4/4,2/0,2/4,-,-,-
2023,33/32,26/21,4/5,0/4,3/1,0/1
2022,38/31,32/23,6/8,-,-,-
2021,25/32,20/23,4/5,1/3,0/1,-
2020,14/17,5/7,6/5,3/3,-,0/2
2019,42/34,35/26,4/3,1/4,0/1,2/0
2018,55/28,47/19,7/8,1/1,-,-
2017,44/31,32/21,12/6,0/3,0/1,-
2016,37/32,23/14,11/10,3/6,-,0/2
2015,39/31,26/20,12/8,0/1,0/2,1/0
2014,50/29,31/17,18/7,1/4,0/1,-
2013,55/25,27/6,20/10,8/8,0/1,-
2012,15/10,9/5,6/4,-,0/1,-
2011,5/7,3/6,2/1,-,-,-
