Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.08.,Simkiss L.,2,,,,,,"['1', '2']","['1', '1', '6', '4']","['2', '2', '4', '2']",[],[],1.65
13.08.,Murgett F.,1,,,,,,"['2', '0', '4', '2']","['1', '0']","['1', '0']",[],[],20.0
06.08.,Broom C.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '5', '2', '6', '3']",[],[],[],1.14
06.08.,Murgett F.,0,,,,,,[],"['3', '5']",[],[],[],4.85
28.06.,Damm M.,2,,,,,,"['3', '2']","['2', '1', '5', '4']",[],[],[],1.17
28.06.,Murgett F.,0,,,,,,[],"['3', '3']",[],[],[],4.48
27.06.,Murgett F.,2,,,,,,"['2', '2', '4', '4']","['2', '1', '5', '4']",[],[],[],3.09
27.06.,Barroso Campos A.,0,,,,,,"['2', '1', '4', '3']","['3', '3']",[],[],[],1.33
26.06.,Murgett F.,2,,,,,,"['4', '4', '5', '5']","['1', '0', '3', '0']","['1', '0', '3', '0', '5', '4']",[],[],1.43
26.06.,Marques D.,1,,,,,,"['3', '2', '5', '4']",[],"['1', '3', '3', '3']",[],[],2.66
11.06.,Derepasko T.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '5', '2']",[],[],[],2.22
11.06.,Murgett F.,0,,,,,,[],[],[],[],[],1.60
05.06.,Turker M. N.,2,,,,,,"['3', '1', '4', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],2.16
05.06.,Murgett F.,0,,,,,,"['2', '3']",[],[],[],[],1.63
31.05.,De Jonge D.,2,,,,,,"['5', '4']","['2', '2', '4', '2', '5', '3']",[],[],[],1.85
31.05.,Murgett F.,0,,,,,,"['5', '5']","['1', '0', '3', '4']",[],[],[],1.85
30.05.,Murgett F.,2,,,,,,"['2', '1', '4', '3']","['1', '0', '3', '2', '4', '3']",[],[],[],1.51
30.05.,Schell N.,0,,,,,,"['2', '2']","['2', '2', '3', '3']",[],[],[],2.42
29.05.,Murgett F.,2,,,,,,"['2', '3', '5', '4']","['2', '1', '3', '2']","['2', '3', '4', '3', '6', '3']",[],[],1.29
29.05.,Soyler B.,1,,,,,,"['3', '1']","['2', '2', '4', '4', '6', '4']","['3', '1']",[],[],3.32
07.05.,Broom C.,2,,,,,,"['3', '1', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],[],1.23
07.05.,Murgett F.,0,,,,,,[],[],[],[],[],3.81
29.04.,Knaff A.,2,,,,,,"['1', '0', '3', '0', '5', '2']","['1', '0', '3', '2', '5', '2']",[],[],[],1.53
29.04.,Murgett F.,0,,,,,,"['2', '4']","['2', '2']",[],[],[],2.37
26.03.,Poertner L.,2,,,,,,"['1', '0', '4', '3', '5', '4']","['2', '5']","['5', '4']",[],[],2.00
26.03.,Murgett F.,1,,,,,,"['1', '1', '4', '4']","['2', '0', '4', '0', '6', '2']","['5', '5']",[],[],1.72
19.03.,Gray A.,2,,,,,,"['1', '0', '4', '3']",[],"['2', '2', '5', '5', '6', '6']",[],[],1.12
19.03.,Murgett F.,1,,,,,,"['3', '3']","['5', '3']","['1', '0', '3', '2', '6', '5']",[],[],5.25
12.02.,Gakhov I.,2,,,,,,"['4', '3']","['3', '2']","['2', '1', '6', '5']",[],[],1.12
12.02.,Murgett F.,1,,,,,,[],"['4', '4', '6', '4']","['5', '5']",[],[],5.30
16.11.2023,Neff A.,2,,,,,,"['3', '3', '5', '3']","['1', '0', '3', '0']",[],[],[],1.80
16.11.2023,Murgett F.,0,,,,,,"['2', '1']","['3', '5']",[],[],[],1.91
15.11.2023,Murgett F.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],1.75
