Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,33/22,0/1,13/9,8/7,7/4,5/1
2023,23/11,-,10/7,6/2,2/1,5/1
2022,5/4,0/1,-,-,5/3,-
2021,3/2,-,3/1,0/1,-,-
2019,1/1,-,-,1/1,-,-
2018,1/4,-,0/1,1/3,-,-
