Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,190/130,36/23,152/104,-,-,2/3
2024,32/15,-,32/15,-,-,-
2023,32/12,1/2,29/7,-,-,2/3
2020,3/2,-,3/2,-,-,-
2019,37/23,22/5,15/18,-,-,-
2018,23/27,11/11,12/16,-,-,-
2017,35/25,-,35/25,-,-,-
2016,17/19,0/4,17/15,-,-,-
2015,2/3,-,2/3,-,-,-
2014,7/3,-,7/3,-,-,-
2013,2/1,2/1,-,-,-,-
