Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,180/104,13/9,143/77,18/18,-,6/0
2024,28/18,0/1,28/16,0/1,-,-
2023,41/26,-,31/20,4/6,-,6/0
2022,30/24,3/4,26/14,1/6,-,-
2021,16/5,-,8/2,8/3,-,-
2020,17/7,10/3,7/4,-,-,-
2019,9/6,0/1,6/4,3/1,-,-
2018,14/5,-,14/5,-,-,-
2017,17/10,-,17/10,-,-,-
2016,8/3,-,6/2,2/1,-,-
