Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.07.,Sweeny D.,2,,,,,,[],"['5', '3']","['2', '1', '5', '2']",[],[],2.08
13.07.,Smith K.,1,,,,,,"['2', '0', '4', '0']",[],[],[],[],1.69
12.07.,Smith K.,2,,,,,,"['3', '3', '5', '3']","['5', '4']",[],[],[],1.28
12.07.,Brunkow G.,0,,,,,,"['3', '2']",[],[],[],[],3.40
11.07.,Smith K.,2,,,,,,"['5', '4']","['6', '5']",[],[],[],1.42
11.07.,Bigun K.,0,,,,,,[],[],[],[],[],2.69
10.07.,Smith K.,2,,,,,,"['2', '1', '5', '4']","['1', '0', '4', '1', '6', '1']",[],[],[],1.06
10.07.,Leather J.,0,,,,,,"['4', '4']",[],[],[],[],7.10
09.07.,Smith K.,2,,,,,,[],[],"['2', '0', '5', '1']",[],[],1.28
09.07.,Dickerson R.,1,,,,,,[],[],[],[],[],3.40
06.06.,Fenty A.,2,,,,,,"['2', '1', '4', '3', '6', '3']","['1', '1', '4', '2']",[],[],[],3.26
06.06.,Smith K.,0,,,,,,"['2', '2']","['1', '0']",[],[],[],1.30
05.06.,Smith K.,2,,,,,,"['3', '3', '5', '5', '7', '5']","['2', '0']",[],[],[],-
05.06.,Rolland D.,0,,,,,,"['2', '1', '4', '3']",[],[],[],[],-
04.06.,Smith K.,2,,,,,,"['3', '1', '5', '1']","['2', '3', '4', '3']",[],[],[],1.17
04.06.,Brymer G.,0,,,,,,[],"['3', '1']",[],[],[],4.62
01.06.,Smith K.,2,,,,,,"['1', '0', '3', '0']","['3', '2', '5', '2', '6', '3']",[],[],[],1.44
01.06.,Danilov S.,0,,,,,,[],"['3', '5']",[],[],[],2.62
31.05.,Smith K.,2,,,,,,"['2', '0', '6', '2']","['2', '2', '4', '2']",[],[],[],1.29
31.05.,Murali R.,0,,,,,,[],"['2', '1', '4', '5']",[],[],[],3.32
30.05.,Smith K.,2,,,,,,"['3', '1']","['1', '0', '2', '1', '4', '1']",[],[],[],1.54
30.05.,Clark E.,0,,,,,,[],"['1', '1']",[],[],[],2.35
29.05.,Smith K.,2,,,,,,"['3', '1']","['2', '3', '5', '4', '6', '5']",[],[],[],-
29.05.,Rolland D.,0,,,,,,[],"['3', '1', '5', '5']",[],[],[],-
28.05.,Smith K.,2,,,,,,"['4', '3', '6', '3']","['3', '1', '6', '2']",[],[],[],1.54
28.05.,Magadan A.,0,,,,,,[],[],[],[],[],2.35
08.05.,Searle H.,2,,,,,,[],"['1', '0', '4', '1', '6', '1']","['4', '4', '6', '4']",[],[],1.39
08.05.,Smith K.,1,,,,,,"['3', '1', '6', '2']",[],"['4', '3']",[],[],2.81
07.05.,Smith K.,2,,,,,,"['4', '2']",[],"['2', '2', '5', '3']",[],[],2.53
07.05.,Samuel T.,1,,,,,,[],"['2', '0', '5', '1']","['1', '0']",[],[],1.47
30.04.,Henning P.,2,,,,,,[],"['3', '3', '4', '4', '7', '5']",[],[],[],1.30
30.04.,Smith K.,0,,,,,,[],"['2', '1', '4', '3']",[],[],[],3.26
02.04.,Guna R.,2,,,,,,"['1', '1', '6', '4']","['2', '0', '5', '1']",[],[],[],7.60
02.04.,Smith K.,0,,,,,,"['1', '0']",[],[],[],[],1.05
25.03.,Smith K.,2,,,,,,"['1', '0', '3', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.04
25.03.,Van Zijl T.,0,,,,,,[],[],[],[],[],8.10
22.03.,Delage P.,2,,,,,,"['3', '4']","['4', '2']",[],[],[],2.73
22.03.,Smith K.,0,,,,,,"['3', '1']",[],[],[],[],1.41
21.03.,Smith K.,2,,,,,,"['1', '2', '2', '3']","['1', '0', '4', '3', '6', '3']","['2', '0', '4', '0', '6', '2']",[],[],1.32
21.03.,Jones M.,1,,,,,,"['2', '0', '3', '1', '6', '4']","['1', '1']","['1', '4']",[],[],3.14
20.03.,Smith K.,2,,,,,,"['6', '4']","['2', '0', '4', '0', '6', '0']",[],[],[],1.34
20.03.,Vales A.,0,,,,,,[],[],[],[],[],3.04
