Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,44/36,29/25,15/11,-,-,-
2024,28/24,20/15,8/9,-,-,-
2023,16/10,9/8,7/2,-,-,-
2022,0/2,0/2,-,-,-,-
