Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,188/152,50/36,138/116,-,-,-
2024,11/12,0/2,11/10,-,-,-
2023,15/18,-,15/18,-,-,-
2022,28/22,13/5,15/17,-,-,-
2021,25/18,6/8,19/10,-,-,-
2020,7/9,2/3,5/6,-,-,-
2019,21/19,0/2,21/17,-,-,-
2018,33/22,18/9,15/13,-,-,-
2017,15/11,3/3,12/8,-,-,-
2016,21/11,1/1,20/10,-,-,-
2015,12/10,7/3,5/7,-,-,-
