Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,22/19,12/9,10/10,-,-,-
2024,20/15,11/6,9/9,-,-,-
2023,1/3,0/2,1/1,-,-,-
2022,1/1,1/1,-,-,-,-
